year,territory,territory_order,territory_type,tenure_regime,num_main_homes
2021,el Coll,29,Barri,Ownership,1950.0
2021,Sant Gervasi - Galvany,26,Barri,Rent,6333.0
2021,el Guinardó,35,Barri,Other,1230.0
2021,les Corts,19,Barri,Ownership,12405.0
2021,Sants - Badal,17,Barri,Other,738.0
2021,Ciutat Vella,1,Districte,Other,4368.0
2021,Barcelona,1,Municipi,Other,53055.0
2021,la Prosperitat,52,Barri,Ownership,7596.0
2021,Provençals del Poblenou,71,Barri,Other,630.0
2021,el Fort Pienc,5,Barri,Ownership,7809.0
2021,la Salut,30,Barri,Other,402.0
2021,el Raval,1,Barri,Other,1899.0
2021,Les Corts,4,Districte,Ownership,21702.0
2021,l'Antiga Esquerra de l'Eixample,8,Barri,Other,1668.0
2021,Canyelles,49,Barri,Ownership,2301.0
2021,Nou Barris,8,Districte,Other,4956.0
2021,Sants,18,Barri,Other,1338.0
2021,Sant Martí de Provençals,72,Barri,Rent,2067.0
2021,les Tres Torres,24,Barri,Ownership,3531.0
2021,el Baix Guinardó,33,Barri,Ownership,6942.0
2021,Sant Gervasi - la Bonanova,25,Barri,Rent,3378.0
2021,Vallbona,56,Barri,Other,33.0
2021,la Clota,42,Barri,Rent,72.0
2021,la Teixonera,38,Barri,Other,351.0
2021,la Marina del Prat Vermell,12,Barri,Rent,144.0
2021,Horta-Guinardó,7,Districte,Rent,20127.0
2021,la Salut,30,Barri,Ownership,3483.0
2021,la Barceloneta,3,Barri,Rent,3177.0
2021,la Clota,42,Barri,Other,96.0
2021,el Putxet i el Farró,27,Barri,Other,1032.0
2021,Les Corts,4,Districte,Rent,9024.0
2021,el Fort Pienc,5,Barri,Rent,4287.0
2021,Hostafrancs,15,Barri,Ownership,3894.0
2021,el Fort Pienc,5,Barri,Other,993.0
2021,Torre Baró,54,Barri,Ownership,516.0
2021,el Poblenou,68,Barri,Ownership,8862.0
2021,Horta,43,Barri,Ownership,7188.0
2021,les Corts,19,Barri,Rent,5271.0
2021,Can Baró,34,Barri,Rent,1086.0
2021,Sant Martí de Provençals,72,Barri,Ownership,7914.0
2021,Canyelles,49,Barri,Rent,321.0
2021,Ciutat Meridiana,55,Barri,Ownership,2454.0
2021,Navas,63,Barri,Other,651.0
2021,Eixample,2,Districte,Other,9600.0
2021,el Poble-sec,11,Barri,Other,1452.0
2021,Hostafrancs,15,Barri,Other,567.0
2021,Horta,43,Barri,Other,753.0
2021,Vallbona,56,Barri,Ownership,333.0
2021,Vilapicina i la Torre Llobeta,44,Barri,Ownership,7251.0
2021,la Vila Olímpica del Poblenou,67,Barri,Rent,945.0
2021,la Verneda i la Pau,73,Barri,Other,747.0
2021,Sant Andreu,9,Districte,Ownership,41094.0
2021,la Guineueta,48,Barri,Ownership,4497.0
2021,la Verneda i la Pau,73,Barri,Ownership,8754.0
2021,Baró de Viver,58,Barri,Other,96.0
2021,Navas,63,Barri,Ownership,6141.0
2021,Gràcia,6,Districte,Ownership,30264.0
2021,"Vallvidrera, el Tibidabo i les Planes",22,Barri,Other,102.0
2021,la Dreta de l'Eixample,7,Barri,Ownership,9348.0
2021,la Guineueta,48,Barri,Other,501.0
2021,la Vila de Gràcia,31,Barri,Rent,9153.0
2021,la Vila de Gràcia,31,Barri,Ownership,11436.0
2021,les Tres Torres,24,Barri,Other,504.0
2021,Diagonal Mar i el Front Marítim del Poblenou,69,Barri,Other,348.0
2021,les Tres Torres,24,Barri,Rent,1569.0
2021,el Bon Pastor,59,Barri,Other,324.0
2021,Sants-Montjuïc,3,Districte,Other,5787.0
2021,la Vila Olímpica del Poblenou,67,Barri,Other,234.0
2021,el Poblenou,68,Barri,Rent,4011.0
2021,la Prosperitat,52,Barri,Rent,2718.0
2021,l'Antiga Esquerra de l'Eixample,8,Barri,Rent,7185.0
2021,"Vallvidrera, el Tibidabo i les Planes",22,Barri,Rent,366.0
2021,Sant Andreu,60,Barri,Rent,5577.0
2021,el Poble-sec,11,Barri,Ownership,8931.0
2021,el Parc i la Llacuna del Poblenou,66,Barri,Rent,1836.0
2021,la Vall d'Hebron,41,Barri,Rent,492.0
2021,Sant Genís dels Agudells,39,Barri,Rent,1107.0
2021,Nou Barris,8,Districte,Rent,18114.0
2021,Pedralbes,21,Barri,Ownership,2724.0
2021,la Teixonera,38,Barri,Ownership,3234.0
2021,la Font d'en Fargues,36,Barri,Rent,726.0
2021,la Maternitat i Sant Ramon,20,Barri,Other,705.0
2021,Sarrià,23,Barri,Rent,2892.0
2021,la Nova Esquerra de l'Eixample,9,Barri,Ownership,14907.0
2021,Porta,45,Barri,Rent,2847.0
2021,Sant Andreu,60,Barri,Other,1539.0
2021,la Font de la Guatlla,14,Barri,Ownership,2766.0
2021,el Camp de l'Arpa del Clot,64,Barri,Other,1188.0
2021,el Camp d'en Grassot i Gràcia Nova,32,Barri,Rent,4572.0
2021,Pedralbes,21,Barri,Other,381.0
2021,Sarrià-Sant Gervasi,5,Districte,Ownership,32769.0
2021,el Congrés i els Indians,62,Barri,Ownership,4032.0
2021,el Turó de la Peira,46,Barri,Ownership,3873.0
2021,el Turó de la Peira,46,Barri,Rent,2130.0
2021,la Bordeta,16,Barri,Ownership,5574.0
2021,la Barceloneta,3,Barri,Ownership,3003.0
2021,Barcelona,1,Municipi,Ownership,409587.0
2021,Sant Gervasi - Galvany,26,Barri,Other,1749.0
2021,Diagonal Mar i el Front Marítim del Poblenou,69,Barri,Rent,1374.0
2021,el Baix Guinardó,33,Barri,Rent,3219.0
2021,la Dreta de l'Eixample,7,Barri,Other,1782.0
2021,la Marina de Port,13,Barri,Other,822.0
2021,el Carmel,37,Barri,Rent,3783.0
2021,el Camp de l'Arpa del Clot,64,Barri,Ownership,10305.0
2021,el Putxet i el Farró,27,Barri,Ownership,6930.0
2021,Les Corts,4,Districte,Other,2535.0
2021,el Clot,65,Barri,Rent,2844.0
2021,Sant Genís dels Agudells,39,Barri,Ownership,1584.0
2021,Torre Baró,54,Barri,Rent,378.0
2021,la Sagrada Família,6,Barri,Rent,7392.0
2021,el Guinardó,35,Barri,Rent,4869.0
2021,l'Antiga Esquerra de l'Eixample,8,Barri,Ownership,9456.0
2021,la Sagrera,61,Barri,Rent,3546.0
2021,la Font de la Guatlla,14,Barri,Other,297.0
2021,la Salut,30,Barri,Rent,1632.0
2021,Sant Antoni,10,Barri,Other,1458.0
2021,la Barceloneta,3,Barri,Other,663.0
2021,Sant Andreu,60,Barri,Ownership,16986.0
2021,el Camp d'en Grassot i Gràcia Nova,32,Barri,Ownership,9333.0
2021,Sant Antoni,10,Barri,Ownership,9264.0
2021,el Besòs i el Maresme,70,Barri,Other,699.0
2021,la Marina del Prat Vermell,12,Barri,Ownership,348.0
2021,Pedralbes,21,Barri,Rent,1164.0
2021,Canyelles,49,Barri,Other,150.0
2021,Porta,45,Barri,Ownership,6858.0
2021,Ciutat Meridiana,55,Barri,Other,321.0
2021,el Parc i la Llacuna del Poblenou,66,Barri,Ownership,4158.0
2021,el Barri Gòtic,2,Barri,Rent,3261.0
2021,el Raval,1,Barri,Rent,8883.0
2021,el Clot,65,Barri,Ownership,7338.0
2021,la Vall d'Hebron,41,Barri,Ownership,1671.0
2021,el Bon Pastor,59,Barri,Rent,1176.0
2021,Sants-Montjuïc,3,Districte,Rent,23007.0
2021,la Bordeta,16,Barri,Other,525.0
2021,Vallcarca i els Penitents,28,Barri,Ownership,4062.0
2021,la Maternitat i Sant Ramon,20,Barri,Ownership,6573.0
2021,la Sagrera,61,Barri,Ownership,7761.0
2021,la Guineueta,48,Barri,Rent,1242.0
2021,Sarrià,23,Barri,Other,774.0
2021,Vallbona,56,Barri,Rent,120.0
2021,Diagonal Mar i el Front Marítim del Poblenou,69,Barri,Ownership,3684.0
2021,"Vallvidrera, el Tibidabo i les Planes",22,Barri,Ownership,1131.0
2021,la Vila Olímpica del Poblenou,67,Barri,Ownership,2376.0
2021,el Camp de l'Arpa del Clot,64,Barri,Rent,5175.0
2021,Can Baró,34,Barri,Ownership,2550.0
2021,el Bon Pastor,59,Barri,Ownership,3156.0
2021,Sant Antoni,10,Barri,Rent,5769.0
