year,territory,territory_order,territory_type,occupancy_status,num_housing_units
2011,Sant Martí,10,District,Main,97055.0
2011,Horta-Guinardó,7,District,Secondary,2050.0
2011,Nou Barris,8,District,Main,68285.0
2011,Ciutat Vella,1,District,Main,44505.0
2011,Sarrià-Sant Gervasi,5,District,Secondary,5715.0
2011,Sants-Montjuïc,3,District,Vacant,9100.0
2011,Nou Barris,8,District,Vacant,6815.0
2011,Sants-Montjuïc,3,District,Main,77820.0
2011,Horta-Guinardó,7,District,Main,71555.0
2011,Ciutat Vella,1,District,Secondary,2515.0
2011,Nou Barris,8,District,Secondary,2050.0
2011,Eixample,2,District,Vacant,18585.0
2011,Barcelona,1,Municipality,Vacant,88250.0
2021,Horta-Guinardó,7,District,Main,71280.0
2021,Sant Genís dels Agudells,39,Neighbourhood,Not main,459.0
2021,el Poblenou,68,Neighbourhood,Not main,2925.0
2021,Sarrià,23,Neighbourhood,Main,8805.0
2021,la Verneda i la Pau,73,Neighbourhood,Main,11622.0
2021,Vallbona,56,Neighbourhood,Main,483.0
2021,el Clot,65,Neighbourhood,Main,10914.0
2021,Vallcarca i els Penitents,28,Neighbourhood,Main,6747.0
2021,la Vila Olímpica del Poblenou,67,Neighbourhood,Not main,774.0
2021,la Salut,30,Neighbourhood,Main,5520.0
2021,Horta,43,Neighbourhood,Main,10773.0
2021,Sant Andreu,9,District,Not main,8067.0
2021,Sant Andreu,60,Neighbourhood,Not main,3579.0
2021,la Sagrera,61,Neighbourhood,Not main,1539.0
2021,la Guineueta,48,Neighbourhood,Not main,744.0
2021,la Sagrada Família,6,Neighbourhood,Main,22257.0
2021,Sants - Badal,17,Neighbourhood,Not main,1371.0
2021,el Besòs i el Maresme,70,Neighbourhood,Main,8700.0
2021,Nou Barris,8,District,Not main,7392.0
2021,Provençals del Poblenou,71,Neighbourhood,Not main,993.0
2021,la Guineueta,48,Neighbourhood,Main,6234.0
2021,Sant Martí de Provençals,72,Neighbourhood,Not main,1167.0
2021,la Nova Esquerra de l'Eixample,9,Neighbourhood,Main,24918.0
2021,el Raval,1,Neighbourhood,Not main,5610.0
2021,Torre Baró,54,Neighbourhood,Not main,309.0
2021,el Poble-sec,11,Neighbourhood,Not main,2595.0
2021,Montbau,40,Neighbourhood,Main,2082.0
2021,Gràcia,6,District,Not main,14706.0
2021,les Corts,19,Neighbourhood,Main,19143.0
2021,el Putxet i el Farró,27,Neighbourhood,Not main,3039.0
2021,la Salut,30,Neighbourhood,Not main,1170.0
