year,territory,territory_order,territory_type,main_use_destination,num_premises
2009,la Dreta de l'Eixample,7,Neighbourhood,Religious,188.0
2009,Sant Genís dels Agudells,39,Neighbourhood,Parking,639.0
2009,Pedralbes,21,Neighbourhood,Offices,324.0
2009,Sarrià,23,Neighbourhood,Religious,137.0
2009,Barcelona,1,Municipality,Sports,2565.0
2009,el Guinardó,35,Neighbourhood,Education and culture,175.0
2009,Sarrià-Sant Gervasi,5,District,Offices,5024.0
2009,Sant Andreu,9,District,Sports,102.0
2009,Can Baró,34,Neighbourhood,Housing,4780.0
2009,l'Antiga Esquerra de l'Eixample,8,Neighbourhood,Healthcare,140.0
2009,Hostafrancs,15,Neighbourhood,Healthcare,15.0
2009,L'Eixample,2,District,Entertainment,242.0
2009,la Bordeta,16,Neighbourhood,Healthcare,17.0
2009,la Vall d'Hebron,41,Neighbourhood,Tourism and hospitality,29.0
2009,Verdun,51,Neighbourhood,Other,1.0
2009,la Sagrada Família,6,Neighbourhood,Healthcare,70.0
2009,Ciutat Meridiana,55,Neighbourhood,Healthcare,7.0
2009,Les Corts,4,District,Tourism and hospitality,504.0
2009,el Camp de l'Arpa del Clot,64,Neighbourhood,Entertainment,8.0
2009,Gràcia,6,District,Religious,269.0
2009,Vilapicina i la Torre Llobeta,44,Neighbourhood,Commerce,1241.0
2009,el Carmel,37,Neighbourhood,Healthcare,35.0
2009,L'Eixample,2,District,Other,392.0
2009,la Trinitat Nova,53,Neighbourhood,Parking,288.0
2009,Sants-Badal,17,Neighbourhood,Religious,14.0
2009,el Bon Pastor,59,Neighbourhood,Tourism and hospitality,14.0
2009,Sant Antoni,10,Neighbourhood,Industry,1479.0
2009,la Trinitat Vella,57,Neighbourhood,Parking,1326.0
2009,Sant Genís dels Agudells,39,Neighbourhood,Religious,20.0
2009,Ciutat Meridiana,55,Neighbourhood,Housing,3968.0
2009,Provençals del Poblenou,71,Neighbourhood,Healthcare,10.0
2009,Pedralbes,21,Neighbourhood,Entertainment,5.0
2009,la Font de la Guatlla,14,Neighbourhood,Religious,2.0
2009,Canyelles,49,Neighbourhood,Education and culture,14.0
2009,la Sagrada Família,6,Neighbourhood,Offices,764.0
2009,la Sagrera,61,Neighbourhood,Other,8.0
2009,Vallbona,56,Neighbourhood,Tourism and hospitality,6.0
2009,la Salut,30,Neighbourhood,Commerce,547.0
2009,Sant Andreu,9,District,Healthcare,174.0
2009,les Corts,19,Neighbourhood,Parking,17974.0
2009,el Carmel,37,Neighbourhood,Education and culture,105.0
2009,el Besòs i el Maresme,70,Neighbourhood,Sports,11.0
2009,Sant Martí de Provençals,72,Neighbourhood,Education and culture,142.0
2009,la Dreta de l'Eixample,7,Neighbourhood,Housing,26071.0
2009,Can Peguera,47,Neighbourhood,Housing,1000.0
2009,la Font d'en Fargues,36,Neighbourhood,Tourism and hospitality,13.0
2009,la Clota,42,Neighbourhood,Healthcare,3.0
2009,Sant Gervasi- la Bonanova,25,Neighbourhood,Religious,109.0
2009,el Carmel,37,Neighbourhood,Parking,4602.0
2009,el Carmel,37,Neighbourhood,Housing,15347.0
2009,Torre Baró,54,Neighbourhood,Parking,145.0
2009,les Corts,19,Neighbourhood,Sports,59.0
2009,la Nova Esquerra de l'Eixample,9,Neighbourhood,Tourism and hospitality,190.0
2009,Les Corts,4,District,Commerce,4034.0
2009,el Clot,65,Neighbourhood,Parking,5765.0
2009,Sant Gervasi- la Bonanova,25,Neighbourhood,Housing,12189.0
2009,Sarrià-Sant Gervasi,5,District,Commerce,8326.0
2009,el Camp d'en Grassot i Gràcia Nova,32,Neighbourhood,Religious,31.0
2009,la Font de la Guatlla,14,Neighbourhood,Commerce,401.0
2009,el Clot,65,Neighbourhood,Offices,151.0
2009,Ciutat Vella,1,District,Industry,4851.0
2009,el Raval,1,Neighbourhood,Tourism and hospitality,843.0
2009,el Turó de la Peira,46,Neighbourhood,Commerce,771.0
2009,el Clot,65,Neighbourhood,Sports,8.0
2009,"Sant Pere, Santa Caterina i la Ribera",4,Neighbourhood,Sports,5.0
2009,l'Antiga Esquerra de l'Eixample,8,Neighbourhood,Parking,9247.0
2009,les Tres Torres,24,Neighbourhood,Entertainment,1.0
2009,Canyelles,49,Neighbourhood,Other,1.0
2009,la Font d'en Fargues,36,Neighbourhood,Sports,51.0
2009,Vilapicina i la Torre Llobeta,44,Neighbourhood,Religious,17.0
2009,la Vall d'Hebron,41,Neighbourhood,Religious,49.0
2009,el Baix Guinardó,33,Neighbourhood,Commerce,1032.0
2009,el Carmel,37,Neighbourhood,Entertainment,5.0
2009,la Barceloneta,3,Neighbourhood,Commerce,435.0
2009,Vallcarca i els Penitents,28,Neighbourhood,Commerce,576.0
2009,Sant Andreu,60,Neighbourhood,Parking,11702.0
2009,la Vila de Gràcia,31,Neighbourhood,Commerce,3678.0
2009,el Barri Gòtic,2,Neighbourhood,Healthcare,28.0
2009,Navas,63,Neighbourhood,Offices,133.0
2009,el Putxet i el Farró,27,Neighbourhood,Sports,45.0
2009,la Barceloneta,3,Neighbourhood,Housing,9172.0
2009,Sant Martí,10,District,Entertainment,29.0
2009,la Vall d'Hebron,41,Neighbourhood,Other,4.0
2009,el Camp de l'Arpa del Clot,64,Neighbourhood,Tourism and hospitality,264.0
2009,L'Eixample,2,District,Tourism and hospitality,1659.0
2009,el Bon Pastor,59,Neighbourhood,Sports,6.0
2009,les Tres Torres,24,Neighbourhood,Housing,6931.0
2009,Horta,43,Neighbourhood,Tourism and hospitality,44.0
2009,Sants-Montjuïc,3,District,Parking,34455.0
2009,Nou Barris,8,District,Tourism and hospitality,159.0
2009,Hostafrancs,15,Neighbourhood,Sports,19.0
2009,Barcelona,1,Municipality,Healthcare,3821.0
2009,el Camp d'en Grassot i Gràcia Nova,32,Neighbourhood,Education and culture,73.0
2009,Navas,63,Neighbourhood,Education and culture,57.0
2009,la Marina de Port,13,Neighbourhood,Industry,782.0
2009,el Poblenou,68,Neighbourhood,Other,5.0
2009,la Dreta de l'Eixample,7,Neighbourhood,Tourism and hospitality,758.0
2009,la Font de la Guatlla,14,Neighbourhood,Industry,317.0
2009,el Bon Pastor,59,Neighbourhood,Parking,1855.0
2009,Gràcia,6,District,Commerce,6549.0
2009,Hostafrancs,15,Neighbourhood,Commerce,1453.0
2009,Torre Baró,54,Neighbourhood,Commerce,116.0
2009,la Vall d'Hebron,41,Neighbourhood,Education and culture,21.0
2009,la Teixonera,38,Neighbourhood,Education and culture,25.0
2009,Baró de Viver,58,Neighbourhood,Housing,1111.0
2009,Verdun,51,Neighbourhood,Industry,193.0
2009,la Vall d'Hebron,41,Neighbourhood,Parking,164.0
2009,el Poble Sec,11,Neighbourhood,Other,102.0
2009,les Tres Torres,24,Neighbourhood,Tourism and hospitality,36.0
2009,Hostafrancs,15,Neighbourhood,Entertainment,7.0
2009,Sant Andreu,9,District,Entertainment,27.0
2009,Sant Antoni,10,Neighbourhood,Healthcare,63.0
2009,el Camp de l'Arpa del Clot,64,Neighbourhood,Other,19.0
2009,la Vall d'Hebron,41,Neighbourhood,Housing,3724.0
2009,Canyelles,49,Neighbourhood,Parking,324.0
2009,la Vall d'Hebron,41,Neighbourhood,Industry,274.0
2009,la Salut,30,Neighbourhood,Tourism and hospitality,29.0
2009,la Nova Esquerra de l'Eixample,9,Neighbourhood,Commerce,2610.0
2009,Ciutat Meridiana,55,Neighbourhood,Education and culture,31.0
2009,la Barceloneta,3,Neighbourhood,Tourism and hospitality,197.0
2009,Canyelles,49,Neighbourhood,Commerce,208.0
2009,el Congrés i els Indians,62,Neighbourhood,Other,6.0
2009,Provençals del Poblenou,71,Neighbourhood,Offices,206.0
2009,el Camp de l'Arpa del Clot,64,Neighbourhood,Healthcare,15.0
2009,la Clota,42,Neighbourhood,Education and culture,4.0
2009,Sarrià-Sant Gervasi,5,District,Other,158.0
2009,la Clota,42,Neighbourhood,Industry,67.0
2009,la Dreta de l'Eixample,7,Neighbourhood,Commerce,4825.0
2009,la Trinitat Nova,53,Neighbourhood,Sports,5.0
2009,"Vallvidrera, el Tibidabo i les Planes",22,Neighbourhood,Sports,76.0
2009,el Coll,29,Neighbourhood,Housing,3820.0
2009,Vilapicina i la Torre Llobeta,44,Neighbourhood,Parking,4917.0
2009,Torre Baró,54,Neighbourhood,Healthcare,2.0
2009,la Sagrada Família,6,Neighbourhood,Parking,11291.0
2009,Porta,45,Neighbourhood,Education and culture,80.0
2009,Sarrià,23,Neighbourhood,Other,24.0
2009,Sant Martí,10,District,Offices,1925.0
2009,Montbau,40,Neighbourhood,Industry,500.0
2009,Sants-Badal,17,Neighbourhood,Sports,15.0
2009,Vallbona,56,Neighbourhood,Other,28.0
2009,la Marina de Port,13,Neighbourhood,Housing,12683.0
2009,el Bon Pastor,59,Neighbourhood,Housing,5307.0
2009,Canyelles,49,Neighbourhood,Offices,37.0
2009,Les Corts,4,District,Parking,29312.0
2009,"Vallvidrera, el Tibidabo i les Planes",22,Neighbourhood,Commerce,160.0
2009,el Fort Pienc,5,Neighbourhood,Industry,953.0
2009,Sant Andreu,60,Neighbourhood,Commerce,2839.0
2009,Sants-Montjuïc,3,District,Entertainment,66.0
2009,la Font d'en Fargues,36,Neighbourhood,Other,2.0
2009,Sants-Badal,17,Neighbourhood,Industry,842.0
2009,la Verneda i la Pau,73,Neighbourhood,Tourism and hospitality,3.0
2009,Pedralbes,21,Neighbourhood,Industry,297.0
2009,"Vallvidrera, el Tibidabo i les Planes",22,Neighbourhood,Other,14.0
2009,el Coll,29,Neighbourhood,Healthcare,5.0
2009,Ciutat Vella,1,District,Offices,3186.0
2009,Barcelona,1,Municipality,Other,1519.0
2009,Vallbona,56,Neighbourhood,Religious,1.0
2009,el Clot,65,Neighbourhood,Other,5.0
2009,Sant Antoni,10,Neighbourhood,Entertainment,37.0
2009,la Vall d'Hebron,41,Neighbourhood,Sports,26.0
2009,la Font de la Guatlla,14,Neighbourhood,Tourism and hospitality,16.0
2009,Nou Barris,8,District,Other,94.0
2009,el Besòs i el Maresme,70,Neighbourhood,Healthcare,16.0
2009,el Turó de la Peira,46,Neighbourhood,Housing,6829.0
2009,la Clota,42,Neighbourhood,Housing,334.0
2009,Gràcia,6,District,Education and culture,505.0
2009,el Parc i la Llacuna del Poblenou,66,Neighbourhood,Other,8.0
2009,Pedralbes,21,Neighbourhood,Housing,5723.0
2009,Vallbona,56,Neighbourhood,Industry,114.0
2009,la Guineueta,48,Neighbourhood,Tourism and hospitality,20.0
2009,les Roquetes,50,Neighbourhood,Offices,20.0
2009,l'Antiga Esquerra de l'Eixample,8,Neighbourhood,Education and culture,242.0
2009,Vilapicina i la Torre Llobeta,44,Neighbourhood,Entertainment,5.0
2009,Navas,63,Neighbourhood,Parking,4089.0
2009,Gràcia,6,District,Sports,174.0
2009,la Marina de Port,13,Neighbourhood,Religious,8.0
2009,Pedralbes,21,Neighbourhood,Sports,149.0
2009,Diagonal Mar i el Front Marítim del Poblenou,69,Neighbourhood,Education and culture,3.0
2009,el Guinardó,35,Neighbourhood,Parking,6247.0
2009,el Camp de l'Arpa del Clot,64,Neighbourhood,Commerce,1316.0
2009,Vilapicina i la Torre Llobeta,44,Neighbourhood,Housing,12066.0
2009,Montbau,40,Neighbourhood,Commerce,155.0
2009,la Salut,30,Neighbourhood,Offices,113.0
2009,Sant Andreu,9,District,Other,70.0
2009,Horta,43,Neighbourhood,Parking,5553.0
2009,la Teixonera,38,Neighbourhood,Healthcare,3.0
2009,Vallcarca i els Penitents,28,Neighbourhood,Healthcare,110.0
2009,el Parc i la Llacuna del Poblenou,66,Neighbourhood,Sports,6.0
2009,Pedralbes,21,Neighbourhood,Religious,34.0
2009,el Congrés i els Indians,62,Neighbourhood,Offices,74.0
2009,el Clot,65,Neighbourhood,Tourism and hospitality,18.0
2009,Verdun,51,Neighbourhood,Housing,5944.0
2009,el Carmel,37,Neighbourhood,Religious,23.0
2009,Baró de Viver,58,Neighbourhood,Parking,459.0
2009,Sant Martí,10,District,Commerce,9364.0
2009,el Besòs i el Maresme,70,Neighbourhood,Housing,9500.0
2009,Horta-Guinardó,7,District,Sports,266.0
2009,el Poblenou,68,Neighbourhood,Entertainment,3.0
2009,la Font de la Guatlla,14,Neighbourhood,Other,4.0
2009,el Fort Pienc,5,Neighbourhood,Tourism and hospitality,89.0
2009,Torre Baró,54,Neighbourhood,Education and culture,27.0
2009,la Marina de Port,13,Neighbourhood,Tourism and hospitality,9.0
2009,Montbau,40,Neighbourhood,Healthcare,108.0
2009,Nou Barris,8,District,Industry,4375.0
2009,el Coll,29,Neighbourhood,Tourism and hospitality,10.0
2009,Nou Barris,8,District,Housing,76094.0
2009,el Baix Guinardó,33,Neighbourhood,Entertainment,6.0
2009,el Parc i la Llacuna del Poblenou,66,Neighbourhood,Parking,3494.0
2009,la Sagrada Família,6,Neighbourhood,Housing,27152.0
2009,la Font d'en Fargues,36,Neighbourhood,Education and culture,148.0
2009,les Roquetes,50,Neighbourhood,Tourism and hospitality,21.0
2009,Porta,45,Neighbourhood,Tourism and hospitality,38.0
2009,Horta,43,Neighbourhood,Entertainment,14.0
2009,Barcelona,1,Municipality,Education and culture,7805.0
2009,el Baix Guinardó,33,Neighbourhood,Religious,21.0
2009,el Camp d'en Grassot i Gràcia Nova,32,Neighbourhood,Housing,18047.0
2009,el Camp d'en Grassot i Gràcia Nova,32,Neighbourhood,Industry,1956.0
2009,Barcelona,1,Municipality,Parking,325750.0
2009,Provençals del Poblenou,71,Neighbourhood,Industry,1375.0
2009,L'Eixample,2,District,Religious,332.0
2009,Sant Gervasi- la Bonanova,25,Neighbourhood,Tourism and hospitality,130.0
2009,la Prosperitat,52,Neighbourhood,Offices,56.0
2009,el Bon Pastor,59,Neighbourhood,Education and culture,30.0
2009,Horta,43,Neighbourhood,Other,4.0
2009,el Guinardó,35,Neighbourhood,Industry,1541.0
2009,les Tres Torres,24,Neighbourhood,Healthcare,270.0
2009,la Bordeta,16,Neighbourhood,Parking,3735.0
2009,Horta-Guinardó,7,District,Offices,704.0
2009,el Clot,65,Neighbourhood,Entertainment,5.0
2009,Canyelles,49,Neighbourhood,Sports,7.0
2009,les Corts,19,Neighbourhood,Industry,2029.0
2009,la Prosperitat,52,Neighbourhood,Tourism and hospitality,12.0
2009,Barcelona,1,Municipality,Tourism and hospitality,6958.0
2009,la Marina de Port,13,Neighbourhood,Commerce,1051.0
2009,el Poble Sec,11,Neighbourhood,Commerce,1939.0
2009,el Putxet i el Farró,27,Neighbourhood,Commerce,1374.0
2009,el Coll,29,Neighbourhood,Industry,261.0
2009,Sants-Montjuïc,3,District,Tourism and hospitality,542.0
2009,la Vila de Gràcia,31,Neighbourhood,Healthcare,81.0
2009,Pedralbes,21,Neighbourhood,Healthcare,16.0
2009,Gràcia,6,District,Industry,6005.0
2009,el Parc i la Llacuna del Poblenou,66,Neighbourhood,Religious,4.0
2009,Sarrià,23,Neighbourhood,Education and culture,321.0
2009,Diagonal Mar i el Front Marítim del Poblenou,69,Neighbourhood,Entertainment,10.0
2009,Nou Barris,8,District,Education and culture,714.0
2009,el Putxet i el Farró,27,Neighbourhood,Housing,15968.0
2009,la Marina del Prat Vermell,12,Neighbourhood,Industry,2106.0
2009,l'Antiga Esquerra de l'Eixample,8,Neighbourhood,Commerce,3283.0
2009,Vilapicina i la Torre Llobeta,44,Neighbourhood,Education and culture,158.0
2009,Sant Antoni,10,Neighbourhood,Housing,20106.0
2009,la Sagrada Família,6,Neighbourhood,Entertainment,9.0
2009,el Turó de la Peira,46,Neighbourhood,Offices,23.0
2009,Vallbona,56,Neighbourhood,Sports,7.0
2009,Sant Andreu,60,Neighbourhood,Entertainment,11.0
2009,"Sant Pere, Santa Caterina i la Ribera",4,Neighbourhood,Healthcare,21.0
2009,Navas,63,Neighbourhood,Sports,6.0
2009,la Trinitat Nova,53,Neighbourhood,Offices,7.0
2009,el Guinardó,35,Neighbourhood,Other,6.0
2009,la Vila de Gràcia,31,Neighbourhood,Industry,2761.0
2009,Porta,45,Neighbourhood,Parking,4649.0
2009,L'Eixample,2,District,Sports,158.0
2009,la Teixonera,38,Neighbourhood,Sports,2.0
2009,Horta-Guinardó,7,District,Entertainment,64.0
2009,la Verneda i la Pau,73,Neighbourhood,Parking,2762.0
2009,el Fort Pienc,5,Neighbourhood,Education and culture,60.0
2009,Sant Martí de Provençals,72,Neighbourhood,Commerce,992.0
2009,Sant Gervasi- la Bonanova,25,Neighbourhood,Offices,498.0
2009,Canyelles,49,Neighbourhood,Healthcare,3.0
2009,la Sagrera,61,Neighbourhood,Sports,21.0
2009,la Sagrera,61,Neighbourhood,Healthcare,58.0
2009,Sants-Badal,17,Neighbourhood,Housing,11505.0
2009,les Roquetes,50,Neighbourhood,Religious,2.0
2009,Montbau,40,Neighbourhood,Offices,21.0
2009,el Congrés i els Indians,62,Neighbourhood,Parking,1896.0
2009,el Turó de la Peira,46,Neighbourhood,Healthcare,11.0
2009,el Poble Sec,11,Neighbourhood,Industry,1591.0
2009,la Nova Esquerra de l'Eixample,9,Neighbourhood,Industry,1646.0
2009,Baró de Viver,58,Neighbourhood,Education and culture,27.0
2009,la Trinitat Nova,53,Neighbourhood,Industry,75.0
2009,Porta,45,Neighbourhood,Housing,11201.0
2009,el Besòs i el Maresme,70,Neighbourhood,Entertainment,3.0
2009,el Camp de l'Arpa del Clot,64,Neighbourhood,Sports,14.0
2009,la Trinitat Vella,57,Neighbourhood,Religious,10.0
2009,el Fort Pienc,5,Neighbourhood,Religious,17.0
2009,Sarrià-Sant Gervasi,5,District,Education and culture,1331.0
2009,la Guineueta,48,Neighbourhood,Healthcare,27.0
2009,Sants-Badal,17,Neighbourhood,Healthcare,33.0
2009,Nou Barris,8,District,Offices,489.0
2009,Porta,45,Neighbourhood,Religious,15.0
2009,la Vila Olímpica del Poblenou,67,Neighbourhood,Commerce,379.0
2009,la Clota,42,Neighbourhood,Religious,3.0
2009,Montbau,40,Neighbourhood,Parking,143.0
2009,la Vila de Gràcia,31,Neighbourhood,Offices,965.0
2009,la Verneda i la Pau,73,Neighbourhood,Education and culture,80.0
2009,el Turó de la Peira,46,Neighbourhood,Other,1.0
2009,la Nova Esquerra de l'Eixample,9,Neighbourhood,Housing,29723.0
2009,les Corts,19,Neighbourhood,Education and culture,138.0
2009,"Sant Pere, Santa Caterina i la Ribera",4,Neighbourhood,Entertainment,26.0
2009,Sant Genís dels Agudells,39,Neighbourhood,Education and culture,49.0
2009,Sant Martí de Provençals,72,Neighbourhood,Other,1.0
2009,el Clot,65,Neighbourhood,Housing,12237.0
2009,Hostafrancs,15,Neighbourhood,Religious,16.0
2009,Barcelona,1,Municipality,Offices,30868.0
2009,Sant Gervasi- Galvany,26,Neighbourhood,Healthcare,353.0
2009,la Sagrada Família,6,Neighbourhood,Religious,9.0
2009,les Roquetes,50,Neighbourhood,Industry,673.0
2009,la Marina del Prat Vermell,12,Neighbourhood,Parking,1122.0
2009,la Font d'en Fargues,36,Neighbourhood,Industry,484.0
2009,el Raval,1,Neighbourhood,Healthcare,40.0
2009,Torre Baró,54,Neighbourhood,Religious,1.0
2009,Navas,63,Neighbourhood,Other,7.0
2009,l'Antiga Esquerra de l'Eixample,8,Neighbourhood,Housing,24134.0
2009,Sants-Montjuïc,3,District,Religious,94.0
2009,la Vila de Gràcia,31,Neighbourhood,Entertainment,81.0
2009,Hostafrancs,15,Neighbourhood,Tourism and hospitality,102.0
2009,el Besòs i el Maresme,70,Neighbourhood,Other,15.0
2009,Verdun,51,Neighbourhood,Tourism and hospitality,2.0
2009,el Carmel,37,Neighbourhood,Other,2.0
2009,la Trinitat Vella,57,Neighbourhood,Commerce,401.0
2009,Horta-Guinardó,7,District,Commerce,7492.0
2009,el Barri Gòtic,2,Neighbourhood,Entertainment,28.0
2009,Gràcia,6,District,Housing,68317.0
2009,la Guineueta,48,Neighbourhood,Religious,11.0
2009,el Putxet i el Farró,27,Neighbourhood,Tourism and hospitality,83.0
2009,Horta,43,Neighbourhood,Sports,73.0
2009,la Maternitat i Sant Ramon,20,Neighbourhood,Religious,16.0
2009,Sant Andreu,9,District,Parking,27240.0
2009,Sant Antoni,10,Neighbourhood,Parking,7806.0
2009,Porta,45,Neighbourhood,Healthcare,6.0
2009,el Besòs i el Maresme,70,Neighbourhood,Religious,13.0
2009,Canyelles,49,Neighbourhood,Religious,1.0
2010,el Poble Sec,11,Neighbourhood,Tourism and hospitality,261.0
2010,el Coll,29,Neighbourhood,Offices,62.0
2010,Sant Gervasi- Galvany,26,Neighbourhood,Parking,15173.0
2010,la Dreta de l'Eixample,7,Neighbourhood,Tourism and hospitality,764.0
2010,la Vila de Gràcia,31,Neighbourhood,Tourism and hospitality,207.0
2010,Sarrià-Sant Gervasi,5,District,Education and culture,1320.0
2010,Sant Andreu,9,District,Industry,6812.0
2010,Sants,18,Neighbourhood,Sports,33.0
2010,el Bon Pastor,59,Neighbourhood,Religious,6.0
2010,la Verneda i la Pau,73,Neighbourhood,Housing,13043.0
2010,No consta,99999,Neighbourhood,Education and culture,21.0
2010,Nou Barris,8,District,Housing,76394.0
2010,el Raval,1,Neighbourhood,Other,38.0
2010,la Maternitat i Sant Ramon,20,Neighbourhood,Entertainment,1.0
2010,Pedralbes,21,Neighbourhood,Religious,34.0
