district_code,longitude,staircase,number_type,building_entrance,street_type,street_number_start,street_number_end,district_name,neighbourhood_name,generalitat_register_number,floor,door,letter2,number_of_places,expedient_number,letter1,latitude,block,street_name,neighbourhood_code,id
02,"2,17741081678227",,1,,Carrer,497,,L'EIXAMPLE,la Sagrada Família,HUTB-005218,05,2,,2,02-2013-0172,,"41,4068214723141",,PROVENÇA,06,2757
02,"2,16605061669729",,1,,Ronda,21,,L'EIXAMPLE,Sant Antoni,HUTB-005243,07,4,,4,02-2013-0173,,"41,3762612377788",,SANT PAU,10,2758
02,"2,15613229925308",,2,,Gran Via,482,,L'EIXAMPLE,Sant Antoni,HUTB-005142,PR,1A,,5,02-2013-0175,,"41,3799686555549",,CORTS CATALANES,10,2759
02,"2,16106492054285",,1,,Carrer,197,,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,HUTB-005154,01,2,,6,02-2013-0176,,"41,3860314898393",,DIPUTACIO,08,2760
02,"2,1602892154069",,1,,Rambla,99,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005123,03,2,,5,02-2013-0179,,"41,3931781951673",,CATALUNYA,07,2761
02,"2,1603423661926",,2,,Rambla,100,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005124,03,2,,5,02-2013-0181,,"41,3935337667224",,CATALUNYA,07,2762
02,"2,14784142400311",,2,,Carrer,136,,L'EIXAMPLE,la Nova Esquerra de l'Eixample,HUTB-005155,PR,2,,4,02-2013-0184,,"41,3818460072682",,ENTENÇA,09,2763
02,"2,15977609469463",,2,,Passatge,14,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005129,01,2,,8,02-2013-0185,,"41,3943888311002",,CONCEPCIO,07,2764
02,"2,15977609469463",,2,,Passatge,14,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005130,01,1,,8,02-2013-0187,,"41,3943888311002",,CONCEPCIO,07,2765
02,"2,14784142400311",,2,,Carrer,136,,L'EIXAMPLE,la Nova Esquerra de l'Eixample,HUTB-005156,2,3,,4,02-2013-0189,,"41,3818460072682",,ENTENÇA,09,2766
02,"2,14784142400311",,2,,Carrer,136,,L'EIXAMPLE,la Nova Esquerra de l'Eixample,HUTB-005157,4,1,,3,02-2013-0191,,"41,3818460072682",,ENTENÇA,09,2767
02,"2,16437991866276",,1,,Carrer,23,,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,HUTB-005082,PR,1,,20,02-2013-0193,,"41,387844358945",,BALMES,08,2768
02,"2,16841483484759",,2,,Carrer,334,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005257,02,1,,8,02-2013-0195,,"41,3963923371926",,VALENCIA,07,2769
02,"2,17678304353244",,1,,Carrer,477,,L'EIXAMPLE,el Fort Pienc,HUTB-005136,PR,1,,10,02-2013-0196,,"41,3995479214537",,CONSELL DE CENT,05,2770
02,"2,17678304353244",,1,,Carrer,477,,L'EIXAMPLE,el Fort Pienc,HUTB-005137,PR,2,,10,02-2013-0197,,"41,3995479214537",,CONSELL DE CENT,05,2771
02,"2,17678304353244",,1,,Carrer,477,,L'EIXAMPLE,el Fort Pienc,HUTB-005138,01,2,,9,02-2013-0198,,"41,3995479214537",,CONSELL DE CENT,05,2772
02,"2,17678304353244",,1,,Carrer,477,,L'EIXAMPLE,el Fort Pienc,HUTB-005139,02,1,,5,02-2013-0199,,"41,3995479214537",,CONSELL DE CENT,05,2773
02,"2,17678304353244",,1,,Carrer,477,,L'EIXAMPLE,el Fort Pienc,HUTB-005133,02,2,,5,02-2013-0200,,"41,3995479214537",,CONSELL DE CENT,05,2774
