year,territory,avg_rent_eur
2019,Sant Martí,941.79
2020,Sant Martí,929.03
2021,Sant Martí,889.1
2022,Sant Martí,997.46
2023,Sant Martí,1102.55
2024,Sant Martí,1096.83
2000,Sants-Montjuïc,337.14
2001,Sants-Montjuïc,379.98
2002,Sants-Montjuïc,436.96
2003,Sants-Montjuïc,453.14
2004,Sants-Montjuïc,498.41
2005,Sants-Montjuïc,558.2
2006,Sants-Montjuïc,620.77
2007,Sants-Montjuïc,669.37
2008,Sants-Montjuïc,725.99
2009,Sants-Montjuïc,699.78
2010,Sants-Montjuïc,672.04
2011,Sants-Montjuïc,671.51
2012,Sants-Montjuïc,633.4
2013,Sants-Montjuïc,596.35
2014,Sants-Montjuïc,598.06
2015,Sants-Montjuïc,623.64
2016,Sants-Montjuïc,677.33
2017,Sants-Montjuïc,761.57
2018,Sants-Montjuïc,803.79
2019,Sants-Montjuïc,841.85
2020,Sants-Montjuïc,847.64
2021,Sants-Montjuïc,799.68
2022,Sants-Montjuïc,914.65
2023,Sants-Montjuïc,1033.65
2024,Sants-Montjuïc,979.35
2000,Sarrià-Sant Gervasi,632.59
2001,Sarrià-Sant Gervasi,658.86
2002,Sarrià-Sant Gervasi,742.05
2003,Sarrià-Sant Gervasi,761.09
2004,Sarrià-Sant Gervasi,824.47
2005,Sarrià-Sant Gervasi,863.9
2006,Sarrià-Sant Gervasi,917.86
2007,Sarrià-Sant Gervasi,1014.54
2008,Sarrià-Sant Gervasi,1080.73
2009,Sarrià-Sant Gervasi,1033.29
2010,Sarrià-Sant Gervasi,998.25
2011,Sarrià-Sant Gervasi,1016.87
2012,Sarrià-Sant Gervasi,985.55
2013,Sarrià-Sant Gervasi,935.35
2014,Sarrià-Sant Gervasi,977.68
2015,Sarrià-Sant Gervasi,1048.9
2016,Sarrià-Sant Gervasi,1142.78
2017,Sarrià-Sant Gervasi,1227.93
2018,Sarrià-Sant Gervasi,1267.94
2019,Sarrià-Sant Gervasi,1315.25
2020,Sarrià-Sant Gervasi,1304.0
2021,Sarrià-Sant Gervasi,1246.29
2022,Sarrià-Sant Gervasi,1385.09
2023,Sarrià-Sant Gervasi,1555.75
2024,Sarrià-Sant Gervasi,1613.19
