territory,territory_order,territory_type,average_rent_price,year_quarter
Gràcia,6,District,348.6179,2000Q1
Horta-Guinardó,7,District,320.2788,2000Q1
Eixample,2,District,436.381770810554,2000Q1
Sant Andreu,9,District,339.494251257485,2000Q1
Sants-Montjuïc,3,District,312.9871,2000Q1
Sant Martí,10,District,324.7735,2000Q1
Les Corts,4,District,567.732135193133,2000Q1
Sant Martí,10,District,341.650021052632,2000Q1
Les Corts,4,District,527.6255,2000Q1
Sarrià-Sant Gervasi,5,District,648.8497,2000Q1
Gràcia,6,District,370.856197605545,2000Q1
Barcelona,-1,Municipality,408.268532235513,2000Q1
Eixample,2,District,425.8277,2000Q1
Nou Barris,8,District,312.8769,2000Q1
Ciutat Vella,1,District,286.9246,2000Q1
Barcelona,-1,Municipality,387.7231,2000Q1
Sarrià-Sant Gervasi,5,District,631.187985106383,2000Q1
Ciutat Vella,1,District,325.191895,2000Q1
Sants-Montjuïc,3,District,336.555624238579,2000Q1
Sant Andreu,9,District,312.6609,2000Q1
Horta-Guinardó,7,District,334.521188717949,2000Q1
Nou Barris,8,District,330.994527817746,2000Q1
Sarrià-Sant Gervasi,5,District,670.864,2000Q2
Sants-Montjuïc,3,District,344.3785,2000Q2
Gràcia,6,District,372.0345,2000Q2
Eixample,2,District,417.8339,2000Q2
Barcelona,-1,Municipality,398.8572,2000Q2
Sant Martí,10,District,326.785,2000Q2
Nou Barris,8,District,344.645,2000Q2
Horta-Guinardó,7,District,322.6834,2000Q2
Ciutat Vella,1,District,301.314,2000Q2
Sant Andreu,9,District,328.0702,2000Q2
Les Corts,4,District,566.706,2000Q2
Eixample,2,District,452.8412,2000Q3
Barcelona,-1,Municipality,421.1176,2000Q3
Gràcia,6,District,393.214,2000Q3
Nou Barris,8,District,333.0103,2000Q3
Horta-Guinardó,7,District,333.3472,2000Q3
Sants-Montjuïc,3,District,348.2472,2000Q3
Sant Martí,10,District,344.8026,2000Q3
Ciutat Vella,1,District,338.7222,2000Q3
Sarrià-Sant Gervasi,5,District,607.8371,2000Q3
Sant Andreu,9,District,361.517,2000Q3
Les Corts,4,District,589.8479,2000Q3
Sarrià-Sant Gervasi,5,District,604.2165,2000Q4
Sants-Montjuïc,3,District,343.5068,2000Q4
Ciutat Vella,1,District,370.0641,2000Q4
Les Corts,4,District,596.0183,2000Q4
Eixample,2,District,453.8012,2000Q4
Sant Andreu,9,District,353.8437,2000Q4
Horta-Guinardó,7,District,362.064,2000Q4
Nou Barris,8,District,338.9595,2000Q4
Sant Martí,10,District,370.2011,2000Q4
Barcelona,-1,Municipality,426.4274,2000Q4
Gràcia,6,District,374.2426,2000Q4
Eixample,2,District,515.192684739756,2001Q1
Horta-Guinardó,7,District,390.495025551331,2001Q1
Horta-Guinardó,7,District,344.5035,2001Q1
Ciutat Vella,1,District,345.2979,2001Q1
Nou Barris,8,District,341.6296,2001Q1
Barcelona,-1,Municipality,433.3532,2001Q1
Eixample,2,District,463.9843,2001Q1
Les Corts,4,District,658.4824,2001Q1
Gràcia,6,District,385.8455,2001Q1
Sants-Montjuïc,3,District,381.928567871259,2001Q1
Barcelona,-1,Municipality,466.337418146834,2001Q1
Sants-Montjuïc,3,District,350.0388,2001Q1
Sarrià-Sant Gervasi,5,District,630.6671,2001Q1
Sant Andreu,9,District,379.2953,2001Q1
Les Corts,4,District,627.004133996683,2001Q1
Sant Martí,10,District,398.117336714375,2001Q1
Nou Barris,8,District,369.369893341121,2001Q1
Sarrià-Sant Gervasi,5,District,659.921328458943,2001Q1
Ciutat Vella,1,District,350.924916059702,2001Q1
Sant Martí,10,District,363.0974,2001Q1
Gràcia,6,District,425.715812964931,2001Q1
Sant Andreu,9,District,385.042580363985,2001Q1
Sant Martí,10,District,368.9668,2001Q2
Nou Barris,8,District,357.9529,2001Q2
Les Corts,4,District,533.51,2001Q2
Barcelona,-1,Municipality,452.7734,2001Q2
Sants-Montjuïc,3,District,370.0408,2001Q2
Horta-Guinardó,7,District,378.0308,2001Q2
Eixample,2,District,496.6494,2001Q2
Sant Andreu,9,District,374.6384,2001Q2
Gràcia,6,District,410.2002,2001Q2
Sarrià-Sant Gervasi,5,District,657.3517,2001Q2
Ciutat Vella,1,District,352.787,2001Q2
Barcelona,-1,Municipality,467.5648,2001Q3
Gràcia,6,District,432.7128,2001Q3
Sant Martí,10,District,394.3918,2001Q3
Sarrià-Sant Gervasi,5,District,689.5824,2001Q3
Horta-Guinardó,7,District,387.3136,2001Q3
Les Corts,4,District,629.9279,2001Q3
Nou Barris,8,District,355.6049,2001Q3
Eixample,2,District,515.6572,2001Q3
Sant Andreu,9,District,384.2322,2001Q3
Ciutat Vella,1,District,342.2632,2001Q3
Sants-Montjuïc,3,District,389.8774,2001Q3
Gràcia,6,District,462.6536,2001Q4
Barcelona,-1,Municipality,500.8263,2001Q4
Horta-Guinardó,7,District,436.6365,2001Q4
Nou Barris,8,District,418.1126,2001Q4
Les Corts,4,District,684.0264,2001Q4
Eixample,2,District,568.4614,2001Q4
Sant Martí,10,District,447.8777,2001Q4
Sants-Montjuïc,3,District,408.0183,2001Q4
Ciutat Vella,1,District,360.3416,2001Q4
Sarrià-Sant Gervasi,5,District,656.7981,2001Q4
Sant Andreu,9,District,398.7527,2001Q4
Sant Martí,10,District,534.0705,2002Q1
Ciutat Vella,1,District,433.459,2002Q1
Barcelona,-1,Municipality,519.809121517631,2002Q1
Sants-Montjuïc,3,District,470.3183,2002Q1
Sarrià-Sant Gervasi,5,District,738.9385,2002Q1
Horta-Guinardó,7,District,420.103,2002Q1
Sarrià-Sant Gervasi,5,District,742.937549356463,2002Q1
Eixample,2,District,567.7528,2002Q1
Les Corts,4,District,630.0701,2002Q1
Eixample,2,District,564.664062403528,2002Q1
Gràcia,6,District,495.72755595723,2002Q1
Sant Andreu,9,District,431.442082752458,2002Q1
Nou Barris,8,District,426.971254498449,2002Q1
Gràcia,6,District,546.9816,2002Q1
Sant Andreu,9,District,440.2157,2002Q1
Barcelona,-1,Municipality,532.015041420118,2002Q1
Sants-Montjuïc,3,District,437.037606009489,2002Q1
Nou Barris,8,District,474.2829,2002Q1
Les Corts,4,District,621.475629754601,2002Q1
Sant Martí,10,District,467.714925476191,2002Q1
Horta-Guinardó,7,District,421.214159546703,2002Q1
Ciutat Vella,1,District,412.053183265925,2002Q1
Sant Andreu,9,District,421.0084,2002Q2
Eixample,2,District,550.32,2002Q2
Sarrià-Sant Gervasi,5,District,743.6469,2002Q2
Gràcia,6,District,466.5121,2002Q2
Horta-Guinardó,7,District,423.4996,2002Q2
Nou Barris,8,District,390.6853,2002Q2
Barcelona,-1,Municipality,496.001049445885,2002Q2
Sants-Montjuïc,3,District,420.3181,2002Q2
Sant Martí,10,District,438.905,2002Q2
Ciutat Vella,1,District,398.9955,2002Q2
Les Corts,4,District,591.6774,2002Q2
Sants-Montjuïc,3,District,424.1564,2002Q3
Eixample,2,District,553.3336,2002Q3
Barcelona,-1,Municipality,514.992130266231,2002Q3
Sant Andreu,9,District,428.544,2002Q3
Sant Martí,10,District,460.9496,2002Q3
Horta-Guinardó,7,District,415.0082,2002Q3
Gràcia,6,District,469.6012,2002Q3
Les Corts,4,District,583.9256,2002Q3
Sarrià-Sant Gervasi,5,District,728.3925,2002Q3
Ciutat Vella,1,District,412.8685,2002Q3
Nou Barris,8,District,420.3646,2002Q3
Eixample,2,District,583.5845,2002Q4
Barcelona,-1,Municipality,533.879119228451,2002Q4
Ciutat Vella,1,District,403.233,2002Q4
Sants-Montjuïc,3,District,432.9738,2002Q4
Sant Andreu,9,District,437.6636,2002Q4
Nou Barris,8,District,420.9841,2002Q4
Sant Martí,10,District,450.191,2002Q4
Sarrià-Sant Gervasi,5,District,756.3253,2002Q4
Les Corts,4,District,671.5496,2002Q4
Gràcia,6,District,497.5745,2002Q4
Horta-Guinardó,7,District,425.2409,2002Q4
Eixample,2,District,567.4315,2003Q1
Sant Andreu,9,District,462.252625395629,2003Q1
Ciutat Vella,1,District,413.9242,2003Q1
Horta-Guinardó,7,District,463.877080645161,2003Q1
Les Corts,4,District,667.712092175066,2003Q1
Les Corts,4,District,599.1605,2003Q1
Gràcia,6,District,480.5069,2003Q1
Nou Barris,8,District,438.427767549103,2003Q1
Sant Andreu,9,District,440.8209,2003Q1
Sarrià-Sant Gervasi,5,District,762.153758953433,2003Q1
Ciutat Vella,1,District,443.150451623529,2003Q1
Eixample,2,District,595.484051584235,2003Q1
Sants-Montjuïc,3,District,453.741402880461,2003Q1
Barcelona,-1,Municipality,517.963669910147,2003Q1
Sant Martí,10,District,484.759614390935,2003Q1
Gràcia,6,District,507.386670742552,2003Q1
Sants-Montjuïc,3,District,420.7214,2003Q1
Barcelona,-1,Municipality,550.591999092224,2003Q1
Sarrià-Sant Gervasi,5,District,742.4053,2003Q1
Sant Martí,10,District,442.0024,2003Q1
Nou Barris,8,District,418.3575,2003Q1
Horta-Guinardó,7,District,444.3348,2003Q1
Horta-Guinardó,7,District,458.2344,2003Q2
Sants-Montjuïc,3,District,438.2389,2003Q2
Sant Andreu,9,District,442.3631,2003Q2
Sant Martí,10,District,468.0405,2003Q2
Gràcia,6,District,484.1536,2003Q2
Ciutat Vella,1,District,434.4859,2003Q2
Nou Barris,8,District,425.6176,2003Q2
Barcelona,-1,Municipality,539.938232778316,2003Q2
Eixample,2,District,583.9746,2003Q2
Sarrià-Sant Gervasi,5,District,743.0561,2003Q2
Les Corts,4,District,646.8586,2003Q2
Sarrià-Sant Gervasi,5,District,746.797,2003Q3
Sants-Montjuïc,3,District,475.1679,2003Q3
Sant Andreu,9,District,472.398,2003Q3
Gràcia,6,District,513.4386,2003Q3
Horta-Guinardó,7,District,449.7458,2003Q3
Ciutat Vella,1,District,459.4592,2003Q3
Eixample,2,District,598.0306,2003Q3
Sant Martí,10,District,503.9302,2003Q3
Barcelona,-1,Municipality,557.840115726939,2003Q3
Les Corts,4,District,724.4231,2003Q3
Nou Barris,8,District,443.3875,2003Q3
Horta-Guinardó,7,District,495.8497,2003Q4
Sant Martí,10,District,517.6698,2003Q4
Barcelona,-1,Municipality,580.521415319747,2003Q4
Gràcia,6,District,543.3818,2003Q4
Sants-Montjuïc,3,District,477.8479,2003Q4
Ciutat Vella,1,District,460.8048,2003Q4
Eixample,2,District,626.4628,2003Q4
Sant Andreu,9,District,490.4152,2003Q4
Sarrià-Sant Gervasi,5,District,811.024,2003Q4
Nou Barris,8,District,460.9111,2003Q4
Les Corts,4,District,696.7629,2003Q4
Ciutat Vella,1,District,469.856370200573,2004Q1
Les Corts,4,District,651.2998,2004Q1
Sants-Montjuïc,3,District,479.1555,2004Q1
Sant Martí,10,District,499.6606,2004Q1
Sant Andreu,9,District,508.349543404255,2004Q1
Les Corts,4,District,705.081730195599,2004Q1
Sarrià-Sant Gervasi,5,District,854.0262,2004Q1
Eixample,2,District,624.3881,2004Q1
Sant Andreu,9,District,486.9413,2004Q1
Eixample,2,District,635.356116319082,2004Q1
Nou Barris,8,District,472.715446351243,2004Q1
Sant Martí,10,District,531.911422770853,2004Q1
Barcelona,-1,Municipality,584.780551374255,2004Q1
Barcelona,-1,Municipality,573.668733651784,2004Q1
Gràcia,6,District,548.961922351475,2004Q1
Sarrià-Sant Gervasi,5,District,823.762258956916,2004Q1
Ciutat Vella,1,District,489.7126,2004Q1
Horta-Guinardó,7,District,501.235713123948,2004Q1
Nou Barris,8,District,465.2254,2004Q1
Horta-Guinardó,7,District,482.2233,2004Q1
Sants-Montjuïc,3,District,498.794264354839,2004Q1
Gràcia,6,District,505.4963,2004Q1
Horta-Guinardó,7,District,488.9781,2004Q2
Barcelona,-1,Municipality,565.137014108031,2004Q2
Sants-Montjuïc,3,District,480.6682,2004Q2
Gràcia,6,District,545.2024,2004Q2
Nou Barris,8,District,452.5333,2004Q2
Sant Martí,10,District,528.1237,2004Q2
Sant Andreu,9,District,522.1979,2004Q2
Ciutat Vella,1,District,418.9479,2004Q2
Les Corts,4,District,685.9427,2004Q2
Eixample,2,District,619.0138,2004Q2
Sarrià-Sant Gervasi,5,District,822.3766,2004Q2
Gràcia,6,District,580.7737,2004Q3
Sants-Montjuïc,3,District,523.9994,2004Q3
Ciutat Vella,1,District,475.6253,2004Q3
Barcelona,-1,Municipality,596.667434234401,2004Q3
Sarrià-Sant Gervasi,5,District,814.2245,2004Q3
Horta-Guinardó,7,District,510.266,2004Q3
Les Corts,4,District,723.8539,2004Q3
Sant Martí,10,District,552.5164,2004Q3
Nou Barris,8,District,486.8068,2004Q3
Eixample,2,District,650.0724,2004Q3
Sant Andreu,9,District,516.0989,2004Q3
Les Corts,4,District,735.9867,2004Q4
Sant Andreu,9,District,506.9671,2004Q4
Nou Barris,8,District,485.0857,2004Q4
Horta-Guinardó,7,District,521.3719,2004Q4
Sants-Montjuïc,3,District,509.4219,2004Q4
Ciutat Vella,1,District,501.9415,2004Q4
Sant Martí,10,District,543.7387,2004Q4
Sarrià-Sant Gervasi,5,District,807.9775,2004Q4
Gràcia,6,District,561.7869,2004Q4
Eixample,2,District,645.7078,2004Q4
Barcelona,-1,Municipality,601.598335996745,2004Q4
Ciutat Vella,1,District,498.8609,2005Q1
Sarrià-Sant Gervasi,5,District,832.1938,2005Q1
Catalunya,-1,Autonomous Community,552.014795190583,2005Q1
Metropolità de Barcelona,-1,Functional Territorial Area,566.931072704612,2005Q1
Les Corts,4,District,743.2577,2005Q1
Metropolità de Barcelona,-1,Functional Territorial Area,596.002432948461,2005Q1
Sant Martí,10,District,605.931250504643,2005Q1
Sant Martí,10,District,565.2272,2005Q1
Horta-Guinardó,7,District,529.9142,2005Q1
Sants-Montjuïc,3,District,528.681,2005Q1
Nou Barris,8,District,479.0127,2005Q1
Ciutat Vella,1,District,539.288126146789,2005Q1
Eixample,2,District,703.055128235499,2005Q1
Les Corts,4,District,742.427018973214,2005Q1
Eixample,2,District,679.2827,2005Q1
Sants-Montjuïc,3,District,558.7279836969,2005Q1
Catalunya,-1,Autonomous Community,527.661791001143,2005Q1
Gràcia,6,District,620.950122869775,2005Q1
Sant Andreu,9,District,537.7638,2005Q1
Sant Andreu,9,District,569.402591381579,2005Q1
Barcelona,-1,Municipality,636.021168852805,2005Q1
Nou Barris,8,District,513.484925581395,2005Q1
Gràcia,6,District,610.1008,2005Q1
Sarrià-Sant Gervasi,5,District,863.570822801025,2005Q1
Horta-Guinardó,7,District,552.090466133866,2005Q1
Barcelona,-1,Municipality,603.884927444566,2005Q1
Les Corts,4,District,653.2798,2005Q2
Barcelona,-1,Municipality,638.87427784333,2005Q2
Sant Andreu,9,District,584.7006,2005Q2
Metropolità de Barcelona,-1,Functional Territorial Area,597.635952726411,2005Q2
Gràcia,6,District,618.5389,2005Q2
Horta-Guinardó,7,District,545.4065,2005Q2
Ciutat Vella,1,District,554.5366,2005Q2
Catalunya,-1,Autonomous Community,553.287438987323,2005Q2
Eixample,2,District,706.1063,2005Q2
Sants-Montjuïc,3,District,546.246,2005Q2
Nou Barris,8,District,540.1696,2005Q2
Sarrià-Sant Gervasi,5,District,900.3064,2005Q2
Sant Martí,10,District,604.6565,2005Q2
Catalunya,-1,Autonomous Community,554.824351352393,2005Q3
Les Corts,4,District,794.1226,2005Q3
Sant Martí,10,District,604.0865,2005Q3
Horta-Guinardó,7,District,552.797,2005Q3
Sants-Montjuïc,3,District,575.895,2005Q3
Ciutat Vella,1,District,535.2441,2005Q3
Barcelona,-1,Municipality,644.038655264066,2005Q3
Nou Barris,8,District,531.6398,2005Q3
Gràcia,6,District,620.8169,2005Q3
Sarrià-Sant Gervasi,5,District,876.9183,2005Q3
Metropolità de Barcelona,-1,Functional Territorial Area,602.716023925762,2005Q3
Sant Andreu,9,District,543.9829,2005Q3
Eixample,2,District,704.5913,2005Q3
Nou Barris,8,District,502.7448,2005Q4
Ciutat Vella,1,District,565.9228,2005Q4
Sarrià-Sant Gervasi,5,District,846.508,2005Q4
Catalunya,-1,Autonomous Community,568.881139050768,2005Q4
Metropolità de Barcelona,-1,Functional Territorial Area,613.729908905464,2005Q4
Horta-Guinardó,7,District,579.8024,2005Q4
Barcelona,-1,Municipality,653.915752645754,2005Q4
Sant Andreu,9,District,603.0246,2005Q4
Les Corts,4,District,790.4583,2005Q4
Sants-Montjuïc,3,District,581.4522,2005Q4
Sant Martí,10,District,641.0921,2005Q4
Gràcia,6,District,632.7961,2005Q4
Eixample,2,District,720.5894,2005Q4
Sarrià-Sant Gervasi,5,District,796.7786,2006Q1
Sant Andreu,9,District,601.722110882709,2006Q1
Catalunya,-1,Autonomous Community,602.75875913369,2006Q1
Metropolità de Barcelona,-1,Functional Territorial Area,624.767304786104,2006Q1
Gràcia,6,District,668.708722770701,2006Q1
Sarrià-Sant Gervasi,5,District,917.661317615063,2006Q1
Nou Barris,8,District,582.128176225655,2006Q1
Gràcia,6,District,633.1862,2006Q1
Catalunya,-1,Autonomous Community,574.564710868653,2006Q1
Sant Martí,10,District,631.5786,2006Q1
Sants-Montjuïc,3,District,620.925602854938,2006Q1
Sant Andreu,9,District,615.4325,2006Q1
Metropolità de Barcelona,-1,Functional Territorial Area,651.295762803206,2006Q1
Eixample,2,District,686.2727,2006Q1
Sant Martí,10,District,682.056624518664,2006Q1
Horta-Guinardó,7,District,629.997142871795,2006Q1
Barcelona,-1,Municipality,659.006085468227,2006Q1
Les Corts,4,District,829.153152521525,2006Q1
Barcelona,-1,Municipality,695.754275746347,2006Q1
Nou Barris,8,District,596.8848,2006Q1
Ciutat Vella,1,District,597.597560417519,2006Q1
Sants-Montjuïc,3,District,609.2695,2006Q1
Les Corts,4,District,765.9658,2006Q1
Horta-Guinardó,7,District,621.3319,2006Q1
Eixample,2,District,750.728664721675,2006Q1
Ciutat Vella,1,District,637.1551,2006Q1
Sarrià-Sant Gervasi,5,District,908.8405,2006Q2
Sant Martí,10,District,700.0431,2006Q2
Sants-Montjuïc,3,District,609.6163,2006Q2
Sant Andreu,9,District,613.672,2006Q2
Metropolità de Barcelona,-1,Functional Territorial Area,642.135020571003,2006Q2
Horta-Guinardó,7,District,634.3114,2006Q2
Eixample,2,District,739.143,2006Q2
Catalunya,-1,Autonomous Community,595.220745374418,2006Q2
Nou Barris,8,District,547.3019,2006Q2
Ciutat Vella,1,District,578.462,2006Q2
Les Corts,4,District,793.7357,2006Q2
Gràcia,6,District,652.0109,2006Q2
Barcelona,-1,Municipality,687.734784025179,2006Q2
Gràcia,6,District,686.2983,2006Q3
Metropolità de Barcelona,-1,Functional Territorial Area,662.400224732355,2006Q3
Sant Martí,10,District,673.0895,2006Q3
Catalunya,-1,Autonomous Community,612.249380146732,2006Q3
Barcelona,-1,Municipality,705.777238808924,2006Q3
Horta-Guinardó,7,District,629.0508,2006Q3
Les Corts,4,District,866.5938,2006Q3
Eixample,2,District,765.4372,2006Q3
Nou Barris,8,District,586.286,2006Q3
Sant Andreu,9,District,639.9959,2006Q3
Sants-Montjuïc,3,District,627.8005,2006Q3
Ciutat Vella,1,District,525.2807,2006Q3
Sarrià-Sant Gervasi,5,District,986.7757,2006Q3
Les Corts,4,District,876.9742,2006Q4
Nou Barris,8,District,600.3746,2006Q4
Barcelona,-1,Municipality,729.101050023686,2006Q4
Eixample,2,District,808.1713,2006Q4
Gràcia,6,District,703.3951,2006Q4
Sarrià-Sant Gervasi,5,District,979.2557,2006Q4
Catalunya,-1,Autonomous Community,627.54452984676,2006Q4
Metropolità de Barcelona,-1,Functional Territorial Area,674.927471812995,2006Q4
Sant Andreu,9,District,549.9712,2006Q4
Horta-Guinardó,7,District,636.1191,2006Q4
Ciutat Vella,1,District,646.3188,2006Q4
Sant Martí,10,District,718.5077,2006Q4
Sants-Montjuïc,3,District,636.2352,2006Q4
Sants-Montjuïc,3,District,641.59,2007Q1
Ciutat Vella,1,District,660.956961441743,2007Q1
Barcelona,-1,Municipality,766.175319849372,2007Q1
Catalunya,-1,Autonomous Community,632.301674441313,2007Q1
Horta-Guinardó,7,District,660.291496296296,2007Q1
Metropolità de Barcelona,-1,Functional Territorial Area,708.686050160342,2007Q1
Les Corts,4,District,957.98,2007Q1
Nou Barris,8,District,632.1307752443,2007Q1
Catalunya,-1,Autonomous Community,645.362767692073,2007Q1
Eixample,2,District,831.100537985562,2007Q1
Sant Martí,10,District,730.615133360689,2007Q1
Horta-Guinardó,7,District,642.38,2007Q1
Les Corts,4,District,955.429246344207,2007Q1
Metropolità de Barcelona,-1,Functional Territorial Area,685.788699727927,2007Q1
Sants-Montjuïc,3,District,668.848096736138,2007Q1
Eixample,2,District,808.56,2007Q1
Gràcia,6,District,728.48,2007Q1
Nou Barris,8,District,584.33,2007Q1
Ciutat Vella,1,District,637.36,2007Q1
Sant Andreu,9,District,675.821076030928,2007Q1
Barcelona,-1,Municipality,743.901653615146,2007Q1
Sant Martí,10,District,719.63,2007Q1
Sarrià-Sant Gervasi,5,District,1014.24484774665,2007Q1
Gràcia,6,District,741.593424821002,2007Q1
Sant Andreu,9,District,642.13,2007Q1
Sarrià-Sant Gervasi,5,District,1006.26,2007Q1
Sants-Montjuïc,3,District,654.71,2007Q2
Horta-Guinardó,7,District,657.26,2007Q2
Gràcia,6,District,720.85,2007Q2
Sarrià-Sant Gervasi,5,District,1005.04,2007Q2
Les Corts,4,District,924.22,2007Q2
Barcelona,-1,Municipality,742.76580063577,2007Q2
Sant Andreu,9,District,649.68,2007Q2
Sant Martí,10,District,726.82,2007Q2
Catalunya,-1,Autonomous Community,631.800417841109,2007Q2
Ciutat Vella,1,District,616.35,2007Q2
Eixample,2,District,791.41,2007Q2
Metropolità de Barcelona,-1,Functional Territorial Area,692.494965464758,2007Q2
Nou Barris,8,District,629.18,2007Q2
Nou Barris,8,District,667.15,2007Q3
Barcelona,-1,Municipality,790.813341247485,2007Q3
Catalunya,-1,Autonomous Community,651.714290050543,2007Q3
Les Corts,4,District,991.03,2007Q3
Sant Andreu,9,District,715.67,2007Q3
Ciutat Vella,1,District,684.23,2007Q3
Sarrià-Sant Gervasi,5,District,1027.3,2007Q3
Gràcia,6,District,760.13,2007Q3
Sants-Montjuïc,3,District,681.26,2007Q3
Metropolità de Barcelona,-1,Functional Territorial Area,725.943789513145,2007Q3
Sant Martí,10,District,717.03,2007Q3
Eixample,2,District,851.62,2007Q3
Horta-Guinardó,7,District,660.96,2007Q3
Sarrià-Sant Gervasi,5,District,1019.87,2007Q4
Barcelona,-1,Municipality,788.563277879602,2007Q4
Gràcia,6,District,758.85,2007Q4
Horta-Guinardó,7,District,680.75,2007Q4
Sant Andreu,9,District,705.6,2007Q4
Sants-Montjuïc,3,District,700.45,2007Q4
Sant Martí,10,District,757.14,2007Q4
Nou Barris,8,District,653.1,2007Q4
Les Corts,4,District,943.92,2007Q4
Ciutat Vella,1,District,707.16,2007Q4
Eixample,2,District,868.22,2007Q4
Catalunya,-1,Autonomous Community,663.787985308333,2007Q4
Metropolità de Barcelona,-1,Functional Territorial Area,730.294802164822,2007Q4
Barcelona,-1,Municipality,793.437622041869,2008Q1
Sant Andreu,9,District,723.903879988433,2008Q1
Nou Barris,8,District,652.898,2008Q1
Sants-Montjuïc,3,District,701.6383,2008Q1
Metropolità de Barcelona,-1,Functional Territorial Area,749.165796406792,2008Q1
Sarrià-Sant Gervasi,5,District,1081.90697154503,2008Q1
Catalunya,-1,Autonomous Community,677.994390807222,2008Q1
Nou Barris,8,District,676.510209627329,2008Q1
Sants-Montjuïc,3,District,725.938700197824,2008Q1
Sant Andreu,9,District,718.1471,2008Q1
Ciutat Vella,1,District,676.9319,2008Q1
Ciutat Vella,1,District,729.58697282488,2008Q1
Eixample,2,District,891.63767551116,2008Q1
Sant Martí,10,District,770.16260097493,2008Q1
Eixample,2,District,879.9102,2008Q1
Metropolità de Barcelona,-1,Functional Territorial Area,732.498320899351,2008Q1
Gràcia,6,District,792.068746646238,2008Q1
Les Corts,4,District,990.58261758794,2008Q1
Sarrià-Sant Gervasi,5,District,1060.3716,2008Q1
Horta-Guinardó,7,District,718.360105331541,2008Q1
Gràcia,6,District,766.5676,2008Q1
Catalunya,-1,Autonomous Community,662.155445003417,2008Q1
Barcelona,-1,Municipality,813.023261573174,2008Q1
Sant Martí,10,District,751.4028,2008Q1
Les Corts,4,District,958.4476,2008Q1
Horta-Guinardó,7,District,688.2535,2008Q1
Les Corts,4,District,938.3701,2008Q2
Nou Barris,8,District,670.8233,2008Q2
Sarrià-Sant Gervasi,5,District,1071.7245,2008Q2
Barcelona,-1,Municipality,809.054454054458,2008Q2
Eixample,2,District,884.896,2008Q2
Gràcia,6,District,781.1006,2008Q2
Sant Martí,10,District,766.4534,2008Q2
Horta-Guinardó,7,District,725.5468,2008Q2
Sants-Montjuïc,3,District,720.8167,2008Q2
Ciutat Vella,1,District,723.4468,2008Q2
Metropolità de Barcelona,-1,Functional Territorial Area,744.106711218806,2008Q2
Sant Andreu,9,District,685.2863,2008Q2
Catalunya,-1,Autonomous Community,672.286706411794,2008Q2
Nou Barris,8,District,686.864,2008Q3
Horta-Guinardó,7,District,731.6623,2008Q3
Sants-Montjuïc,3,District,751.7203,2008Q3
Eixample,2,District,909.2454,2008Q3
Les Corts,4,District,1020.0922,2008Q3
Sant Martí,10,District,789.5203,2008Q3
Gràcia,6,District,812.8874,2008Q3
Catalunya,-1,Autonomous Community,693.909991924838,2008Q3
Sant Andreu,9,District,743.6333,2008Q3
Barcelona,-1,Municipality,833.321586795367,2008Q3
Sarrià-Sant Gervasi,5,District,1084.8831,2008Q3
Ciutat Vella,1,District,771.2232,2008Q3
Metropolità de Barcelona,-1,Functional Territorial Area,767.906983394033,2008Q3
Barcelona,-1,Municipality,816.247933759659,2008Q4
Sant Andreu,9,District,746.9664,2008Q4
Horta-Guinardó,7,District,727.8593,2008Q4
Gràcia,6,District,807.3109,2008Q4
Eixample,2,District,892.9911,2008Q4
Nou Barris,8,District,695.3796,2008Q4
Metropolità de Barcelona,-1,Functional Territorial Area,752.376013323324,2008Q4
Ciutat Vella,1,District,746.5934,2008Q4
Catalunya,-1,Autonomous Community,683.314265818413,2008Q4
Sants-Montjuïc,3,District,729.832,2008Q4
Sant Martí,10,District,773.726,2008Q4
Sarrià-Sant Gervasi,5,District,1104.7692,2008Q4
Les Corts,4,District,1024.2444,2008Q4
Sant Andreu,9,District,707.233970856102,2009Q1
Horta-Guinardó,7,District,689.681613865076,2009Q1
Catalunya,-1,Autonomous Community,650.330291055434,2009Q1
Ciutat Vella,1,District,743.06,2009Q1
Metropolità de Barcelona,-1,Functional Territorial Area,720.78723316438,2009Q1
Les Corts,4,District,933.719714540589,2009Q1
Barcelona,-1,Municipality,821.645011856128,2009Q1
Gràcia,6,District,782.14,2009Q1
Metropolità de Barcelona,-1,Functional Territorial Area,744.982097553074,2009Q1
Horta-Guinardó,7,District,719.86,2009Q1
Nou Barris,8,District,680.94,2009Q1
Eixample,2,District,862.853777658576,2009Q1
Sant Martí,10,District,738.256331448973,2009Q1
Gràcia,6,District,762.283805309735,2009Q1
Barcelona,-1,Municipality,792.886433259582,2009Q1
Sarrià-Sant Gervasi,5,District,1029.29987625418,2009Q1
Nou Barris,8,District,653.275252393386,2009Q1
Catalunya,-1,Autonomous Community,670.36315594601,2009Q1
Sants-Montjuïc,3,District,716.27,2009Q1
Sant Martí,10,District,763.35,2009Q1
Sants-Montjuïc,3,District,698.861380297824,2009Q1
Eixample,2,District,887.37,2009Q1
Les Corts,4,District,911.84,2009Q1
Sarrià-Sant Gervasi,5,District,1081.81,2009Q1
Ciutat Vella,1,District,715.675506428347,2009Q1
Sant Andreu,9,District,738.07,2009Q1
Metropolità de Barcelona,-1,Functional Territorial Area,721.766842254404,2009Q2
Eixample,2,District,871.64,2009Q2
Horta-Guinardó,7,District,691.12,2009Q2
